Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,,Link
"Dinsoreanu, Mihaela; Pusztai, Kalman;",Contribuții la modelarea sistemelor distribuite cu agenți cooperanți,Universitatea Tehnica Cluj-Napoca,,,,2004,,A-Teza doctorat,INTELIGENŢĂ ARTIFICIALĂ,,
"Chiorean, Raluca-Sonia; Dînşoreanu, Mihaela; Faloba, Daciana-Ioana; Potolea, Rodica; ",Sentiment polarity identification using machine learning techniques,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,47-50,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646079
"Parau, Paul; Stef, Alexandru; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Using community detection for sentiment analysis,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,51-54,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646080
"Ionescu, Victor; Dinsoreanu, Mihaela; ",An approach to mining financial markets through market state classification,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,43-46,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646078
"Vancea, Bogdan; Marchis, Alexandru; Dinsoreanu, Mihaela; Potolea, Rodica; ",Contradiction detection between opinions: From a big data perspective,2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP),,,259-266,2013,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6646118
"Dinsoreanu, Mihaela; Potolea, Rodica; ",Towards a Unified Thematic Model for Recommending Context-Sensitive Content,"Knowledge Discovery, Knowledge Engineering and Knowledge Management: 4th International Joint Conference, IC3K 2012, Barcelona, Spain, October 4-7, 2012, Revised Selected Papers 4",,,68-83,2013,Springer Berlin Heidelberg,C3-BDI,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-642-54105-6_5
"Dinsoreanu, Mihaela; Potolea, Rodica; ",Opinion-driven communities’ detection,International Journal of Web Information Systems,10,4,324-342,2014,Emerald Group Publishing Limited,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.emerald.com/insight/content/doi/10.1108/ijwis-04-2014-0016/full/html
"Cosma, Alexandru Cristian; Itu, Vlad-Vasile; Suciu, Darius Andrei; Dinsoreanu, Mihaela; Potolea, Rodica; ",Overcoming the domain barrier in opinion extraction,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,289-296,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6937011
"Rădulescu, Cristina; Dinsoreanu, Mihaela; Potolea, Rodica; ",Identification of spam comments using natural language processing techniques,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-35,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6936976
"Russu, Roxana Monica; Dinsoreanu, Mihaela; Vlad, Oana Luminita; Potolea, Rodica; ",An opinion mining approach for Romanian language,2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP),,,43-46,2014,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/6936976
