Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,,Link,Highlight
"Ardelean, Eugen-Richard; Stanciu, Alexander; Dinsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; Moca, Vasile Vlad; ",Space Breakdown Method A new approach for density-based clustering,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,419-425,2019,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/8959795,
"Ardelean, Eugen-Richard; Coporîie, Andreea; Ichim, Ana-Maria; Dînșoreanu, Mihaela; Mureșan, Raul Cristian; ",A study of autoencoders as a feature extraction technique for spike sorting,Plos one,18,3,e0282810,2023,"Public Library of Science San Francisco, CA USA",C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0282810,1
"Sălăgean, Andreea; Pașc, Andreea-Mădălina; Ardelean, Eugen Richard; Mureșan, Raul C; Moca, Vasile V; Dînșoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Local Field Potential Microstate Analysis,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,221-227,2022,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10053960,
"Ardelean, Eugen-Richard; Ichim, Ana-Maria; Dînşoreanu, Mihaela; Mureşan, Raul Cristian; ",Improved space breakdown method–A robust clustering technique for spike sorting,Frontiers in Computational Neuroscience,17,,1019637,2023,Frontiers Media SA,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1019637/full,1
"Mureșan, Denisa Bianca; Ciure, Raluca-Dana; Ardelean, Eugen Richard; Moca, Vasile Vlad; Mureșan, Raul Cristian; Dînș, Mihaela; ",Spike sorting using Superlets: Evaluation of a novel feature space for the discrimination of neuronal spikes,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,229-235,2022,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10053955,
"Ardelean, Eugen-Richard; Bârzan, Harald; Ichim, Ana-Maria; Mureşan, Raul Cristian; Moca, Vasile Vlad; ",Sharp detection of oscillation packets in rich time-frequency representations of neural signals,Frontiers in Human Neuroscience,17,,1112415,2023,Frontiers Media SA,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2023.1112415/full,
"Moisa, Oana Miruna; Pop, Ileana; Ardelean, Eugen-Richard; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Symbolic Analysis Based Pipeline for EEG Data,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,371-378,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398607,
"Ardelean, Adriana-Ioana; Ardelean, Eugen-Richard; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Burst detection in neuronal activity,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,349-356,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398703,
"Ardelean, Eugen-Richard; Terec, Răzvan-Dan; Marieş, Codruţa-Maria; Moca, Vasile Vlad; Mureşan, Raul Cristian; Dînşoreanu, Mihaela; ",Spike sorting using Superlets: Identifying feature importance through perturbation,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,357-362,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398655,
"Ardelean, Eugen-Richard; Grosu, George Florin; Terebeş, Romulus; Dînşoreanu, Mihaela; ",Exploiting the Self-Organizing Map for Spike Sorting,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,363-369,2023,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10398692,
"Ardelean, Eugen-Richard; Portase, Raluca Laura; Potolea, Rodica; Dînșoreanu, Mihaela; ",A path-based distance computation for non-convexity with applications in clustering,Knowledge and Information Systems,,,Jan-39,2024,Springer London London,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/article/10.1007/s10115-024-02275-4,1
"Ardelean, Eugen-Richard; Dînșoreanu, Mihaela; ",Computational Methods for Brain Signal Analysis during Perception and Action,,,,,2024,,A-Teza doctorat,INTELIGENŢĂ ARTIFICIALĂ,,https://biblioteca.utcluj.ro/files/carti-online-cu-coperta/718-7.pdf,
