Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,,Link
Iulia-Maria Rus; Raluca Laura Portase; Ramona Ioana Tolas; Camelia Lemnaru; Mihaela Dînșoreanu; Rodica Potolea,Extracting Appliance Behavior from Heterogeneous Data,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,,2023,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,
Ioan Stan; Rodica Potolea ,Urban Congestion Avoidance Methodology based on Vehicular Traffic Thresholding,,,,,2023,"Aplied Sciences, Jurnal ",C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2076-3417/13/4/2143
"Tolas, Ramona; Portase, Raluca; Dinsoreanu, Mihaela; Potolea, Rodica",Mining User Behavior: Inference of Time-boxed Usage Patterns from Household Generated Data,eKNOW 2023,,,,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica",Prediction Pipeline on Time Series Data Applied for Usage Prediction on Household Devices,eKNOW 2023,,,,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Macicasan, F.; Frasie, A.;Vezan, N.T.; Lemnaru, C.; Potolea, R.;",Evolving a Pipeline Approach for Abstract Meaning Representation Parsing Towards Dynamic Neural Networks,,,,,2023,International Journal of Neural Systems,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.worldscientific.com/doi/10.1142/S0129065723500405?rfr_dat=cr_pub++0pubmed&rfr_id=ori%3Arid%3Acrossref.org&url_ver=Z39.88-2003
"Salagean, Andreea; Pasc, Andreea-Madalina; Ardelean, Eugen-Richard; Muresan, Raul Cristian; Moca, Vasile V; Dînsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Local Field Potential Microstate Analysis.,ICCP,,,221-227,2022,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Radu, Cosmina; Staicu, Carla-Elena; Mitrică, Livia-Maria; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Extracting Settings from Multilingual Recipes with Various Sequence Tagging Models: an Experimental Study,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,65-72,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053968
"Lăpuşan, Alex-Mihai; Horge, Rareş-Liviu; Petres, Sara; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Instructions Are All You Need: Cooking Parameters Classification for Monolingual Recipes,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,73-80,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053948
"Firte, Catalin; Iamnitchi, Loredana; Portase, Raluca; Tolas, Ramona; Potolea, Rodica; Dinsoreanu, Mihaela; Lemnaru, Camelia; ",Knowledge inference from home appliances data,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,237-243,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Portase, Raluca; Tolas, Ramona; Potolea, Rodica; ",MEDIS: Analysis Methodology for Data with Multiple Complexities.,KDIR,,,191-198,2021,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
