Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,Link,Highlight
"Negru, Vlad-Andrei; Vacareanu, Robert; Lemnaru, Camelia; Surdeanu, Mihai; Potolea, Rodica; ",From Text to Taste: Advancing Smart Appliances with Multilingual Recipe Interpretation,2024 IEEE 40th International Conference on Data Engineering Workshops (ICDEW),,,13-20,2024,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,https://ieeexplore.ieee.org/document/10555101,1
"Vacareanu, Robert; Negru, Vlad-Andrei; Suciu, Vasile; Surdeanu, Mihai; ",From Words to Numbers: Your Large Language Model Is Secretly A Capable Regressor When Given In-Context Examples,arXiv preprint arXiv:2404.07544,,,,2024,,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,https://arxiv.org/abs/2404.07544,
"Negru, Vlad-Andrei; Lemnaru, Camelia; Potolea, Rodica; ","Multitask, Cross-Lingual Recipe Classification Using Joint Fine-Tuning Mechanisms",International Conference on Information Integration and Web Intelligence,,,547-552,2023,Springer,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,https://link.springer.com/chapter/10.1007/978-3-031-48316-5_48,1
"Negru, Vlad-Andrei; Suciu, Vasile; Lăpuşan, Alex-Mihai; Lemnaru, Camelia; Dînşoreanu, Mihaela; Potolea, Rodica; ",Assessing language models’ task and language transfer capabilities for sentiment analysis in dialog data,Computer Speech & Language,89,,101704,2025,Elsevier,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,https://www.sciencedirect.com/science/article/pii/S0885230824000871,
"Toma, Sebastian-Antonio; Lemnaru, Camelia; Negru, Vlad Andrei; Potolea, Rodica; ","Asking the Right Questions: Exploiting Hidden Interactions in a Generative Framework for Multilingual, Multitask Classification",Proceedings of the 7th International Conference on Natural Language and Speech Processing (ICNLSP 2024),,,251-266,2024,,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,https://aclanthology.org/2024.icnlsp-1.28.pdf,
